pno,rno
1106,2175
1109,2180
1118,2195
1121,2200
1124,2205
1127,2210
1130,2215
1139,2230
1142,2235
1145,2240
1148,2245
1151,2250
1152,2250
1160,2265
1163,2270
1165,2275
1166,2275
1169,2280
1175,2290
1178,2295
1181,2300
1184,2305
1187,2310
1190,2315
1193,2320
1196,2325
1259,2430
1172,2435
1199,2480
1202,2485
1205,2490
1208,2495
1211,2500
1214,2505
1217,2510
1220,2515
1223,2520
1226,2525
1229,2530
1232,2535
1235,2540
1238,2545
1241,2550
1244,2555
1247,2560
1250,2565
1253,2570
1256,2575
1258,2580
1271,2600
1262,2735
1265,2740
1268,2745
1274,2755
1277,2760
1280,2765
1283,2770
1286,2775
1289,2780
1292,2785
1295,2790
1298,2795
1301,2800
1304,2805
1307,2810
1310,2815
1313,2820
1316,2825
1319,2830
1322,2835
1325,2840
1328,2845
1331,2850
1334,2855
1337,2860
1340,2865
1343,2870
1346,2875
1349,2880
1083,2885
1086,3040
1089,3045
1092,3050
1095,3055
1098,3060
1101,3065
1104,3070
1107,3075
1110,3080
1116,3090
1119,3095
1122,3100
1125,3105
1128,3110
1134,3120
1137,3125
1140,3130
1143,3135
1146,3140
1149,3145
1155,3155
1158,3160
1161,3165
1164,3170
1167,3175
1170,3180
1176,3190
1215,3255
1173,3335
1179,3345
1182,3350
1185,3355
1188,3360
1191,3365
1194,3370
1197,3375
1200,3380
1203,3385
1206,3390
1209,3395
1212,3400
1218,3410
1221,3415
1224,3420
1227,3425
1230,3430
1233,3435
1236,3440
1239,3445
1242,3450
1245,3455
1248,3460
1251,3465
1254,3470
1257,3475
1260,3480
1275,3655
1293,3685
1296,3690
1317,3725
1335,3755
1338,3760
1263,3785
1266,3790
1269,3795
1272,3800
1278,3810
1281,3815
1284,3820
1287,3825
1290,3830
1299,3845
1302,3850
1305,3855
1308,3860
1131,3865
1311,3865
1320,3880
1323,3885
1326,3890
1329,3895
1332,3900
1341,3915
1344,3920
1306,3925
1314,3925
1347,3925
1270,3930
1350,3930
1351,1355
1354,1360
1378,1400
1383,1400
1387,1415
1390,1420
1357,1515
1384,1515
1360,1520
1385,1520
1363,1525
1366,1530
1369,1535
1372,1540
1375,1545
1381,1555
1393,1575
1396,1580
1399,1585
1402,1590
1405,1595
1408,1600
1411,1605
1414,1610
1417,1615
1420,1620
1423,1625
1426,1630
1429,1635
1432,1640
1438,1650
1441,1655
1447,1665
1450,1670
1453,1675
1456,1680
1459,1685
1462,1690
1465,1695
1471,1705
1444,1810
1468,1850
1474,1860
1477,1865
1480,1870
1483,1875
1486,1880
1489,1885
1492,1890
1495,1895
1498,1900
1501,1905
1504,1910
1507,1915
1510,1920
1513,1925
1516,1930
1519,1935
1522,1940
1525,1945
1543,1975
1546,1980
1561,2005
1564,2010
1582,2040
1585,2045
1603,2075
1606,2080
1531,2105
1534,2110
1537,2115
1549,2135
1552,2140
1555,2145
1558,2150
1567,2165
1570,2170
1573,2175
1579,2185
1588,2200
1591,2205
1594,2210
1597,2215
1600,2220
1609,2235
1612,2240
1615,2245
1618,2250
1352,2255
1361,2270
1364,2275
1382,2305
1403,2340
1406,2345
1424,2375
1427,2380
1355,2410
1358,2415
1367,2430
1370,2435
1373,2440
1376,2445
1379,2450
1388,2465
1391,2470
1394,2475
1397,2480
1400,2485
1409,2500
1412,2505
1415,2510
1418,2515
1421,2520
1422,2520
1430,2535
1433,2540
1435,2545
1436,2545
1439,2550
1445,2560
1448,2565
1451,2570
1454,2575
1457,2580
1460,2585
1463,2590
1466,2595
1529,2700
1442,2705
1469,2750
1472,2755
1475,2760
1478,2765
1481,2770
1484,2775
1487,2780
1490,2785
1493,2790
1496,2795
1499,2800
1502,2805
1505,2810
1508,2815
1511,2820
1514,2825
1517,2830
1520,2835
1523,2840
1526,2845
1528,2850
1541,2870
1532,3005
1535,3010
1538,3015
1544,3025
1547,3030
1550,3035
1553,3040
1556,3045
1559,3050
1562,3055
1565,3060
1568,3065
1571,3070
1574,3075
1577,3080
1580,3085
1583,3090
1586,3095
1589,3100
1592,3105
1595,3110
1598,3115
1601,3120
1604,3125
1607,3130
1610,3135
1613,3140
1616,3145
1619,3150
1353,3155
1356,3310
1359,3315
1362,3320
1365,3325
1368,3330
1371,3335
1374,3340
1377,3345
1380,3350
1386,3360
1389,3365
1392,3370
1395,3375
1398,3380
1404,3390
1407,3395
1410,3400
1413,3405
1416,3410
1419,3415
1425,3425
1428,3430
1431,3435
1434,3440
1437,3445
1440,3450
1446,3460
1485,3525
1443,3605
1449,3615
1452,3620
1455,3625
1458,3630
1461,3635
1464,3640
1467,3645
1470,3650
1473,3655
1476,3660
1479,3665
1482,3670
1488,3680
1491,3685
1494,3690
1497,3695
1500,3700
1503,3705
1506,3710
1509,3715
1512,3720
1515,3725
1518,3730
1521,3735
1524,3740
1527,3745
1530,3750
1545,3925
1563,3955
1566,3960
1587,3995
1605,4025
1608,4030
1533,4055
1536,4060
1539,4065
1542,4070
1548,4080
1551,4085
1554,4090
1557,4095
1560,4100
1569,4115
1572,4120
1575,4125
1578,4130
1401,4135
1581,4135
1590,4150
1593,4155
1596,4160
1599,4165
1602,4170
1611,4185
1614,4190
1576,4195
1584,4195
1617,4195
1540,4200
1620,4200
1621,1625
1624,1630
1648,1670
1653,1670
1657,1685
1660,1690
1627,1785
1654,1785
1630,1790
1655,1790
1633,1795
1636,1800
1639,1805
1642,1810
1645,1815
1651,1825
1663,1845
1666,1850
1669,1855
1672,1860
1675,1865
1678,1870
1681,1875
1684,1880
1687,1885
1690,1890
1693,1895
1696,1900
1699,1905
1702,1910
1708,1920
1711,1925
1717,1935
1720,1940
1723,1945
1726,1950
1729,1955
1732,1960
1735,1965
1741,1975
1714,2080
1738,2120
1744,2130
1747,2135
1750,2140
1753,2145
1756,2150
1759,2155
1762,2160
1765,2165
1768,2170
1771,2175
1774,2180
1777,2185
1780,2190
1783,2195
1786,2200
1789,2205
1792,2210
1795,2215
1813,2245
1816,2250
1831,2275
1834,2280
1852,2310
1855,2315
1873,2345
1876,2350
1801,2375
1804,2380
1807,2385
1819,2405
1822,2410
1825,2415
1828,2420
1837,2435
1840,2440
1843,2445
1849,2455
1858,2470
1861,2475
1864,2480
1867,2485
1870,2490
1879,2505
1882,2510
1885,2515
1888,2520
1622,2525
1631,2540
1634,2545
1652,2575
1673,2610
1676,2615
1694,2645
1697,2650
1625,2680
1628,2685
1637,2700
1640,2705
1643,2710
1646,2715
1649,2720
1658,2735
1661,2740
1664,2745
1667,2750
1670,2755
1679,2770
1682,2775
1685,2780
1688,2785
1691,2790
1692,2790
1700,2805
1703,2810
1705,2815
1706,2815
1709,2820
1715,2830
1718,2835
1721,2840
1724,2845
1727,2850
1730,2855
1733,2860
1736,2865
1799,2970
1712,2975
1739,3020
1742,3025
1745,3030
1748,3035
1751,3040
1754,3045
1757,3050
1760,3055
1763,3060
1766,3065
1769,3070
1772,3075
1775,3080
1778,3085
1781,3090
1784,3095
1787,3100
1790,3105
1793,3110
1796,3115
1798,3120
1811,3140
1802,3275
1805,3280
1808,3285
1814,3295
1817,3300
1820,3305
1823,3310
1826,3315
1829,3320
1832,3325
1835,3330
1838,3335
1841,3340
1844,3345
1847,3350
1850,3355
1853,3360
1856,3365
1859,3370
1862,3375
1865,3380
1868,3385
1871,3390
1874,3395
1877,3400
1880,3405
1883,3410
1886,3415
1889,3420
1623,3425
1626,3580
1629,3585
1632,3590
1635,3595
1638,3600
1641,3605
1644,3610
1647,3615
1650,3620
1656,3630
1659,3635
1662,3640
1665,3645
1668,3650
1674,3660
1677,3665
1680,3670
1683,3675
1686,3680
1689,3685
1695,3695
1698,3700
1701,3705
1704,3710
1707,3715
1710,3720
1716,3730
1755,3795
1713,3875
1719,3885
1722,3890
1725,3895
1728,3900
1731,3905
1734,3910
1737,3915
1740,3920
1743,3925
1746,3930
1749,3935
1752,3940
1758,3950
1761,3955
1764,3960
1767,3965
1770,3970
1773,3975
1776,3980
1779,3985
1782,3990
1785,3995
1788,4000
1791,4005
1794,4010
1797,4015
1800,4020
1815,4195
1833,4225
1836,4230
1857,4265
1875,4295
1878,4300
1803,4325
1806,4330
1809,4335
1812,4340
1818,4350
1821,4355
1824,4360
1827,4365
1830,4370
1839,4385
1842,4390
1845,4395
1848,4400
1671,4405
1851,4405
1860,4420
1863,4425
1866,4430
1869,4435
1872,4440
1881,4455
1884,4460
1846,4465
1854,4465
1887,4465
1810,4470
1890,4470
